id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
10,5600.0,3,13.67,190.5,B,B5,46631.0,10+ years,1,38000.0,0,2013-11-01,0,4,134.0,8,14.21,0.0,665.0,669.0,13.0,0.0,0.0,8653.0,47.5,15.0,0,0,Nov-1996,27332.0,1.0,0.0,6.0,13.0,13.0,6.0,7.0,0.0,13.0,15.0,13.0,13.0,0.0,0.0,0.0,3.0
11,5000.0,3,27.27,204.86,E,E5,140759.0,3 years,0,95000.0,0,2018-12-01,0,0,893.0,49,34.63,0.0,710.0,714.0,10.0,0.0,0.0,16343.0,80.9,38.0,0,0,Aug-2007,0.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,18.0,4.0,16.0,2.0,10.0,0.0,0.0,0.0,3.0
12,19200.0,3,20.0,713.55,D,D4,139297.0,2 years,1,88000.0,0,2017-05-01,0,0,195.0,38,7.58,0.0,680.0,684.0,12.0,0.0,0.0,18866.0,35.7,14.0,1,0,Feb-2014,0.0,1.0,0.0,7.0,8.0,8.0,7.0,8.0,2.0,10.0,11.0,8.0,12.0,0.0,0.0,0.0,8.0
13,24000.0,3,9.99,774.3,B,B3,4967.0,10+ years,0,150000.0,1,2015-08-01,0,2,134.0,8,5.68,0.0,690.0,694.0,7.0,0.0,0.0,4334.0,68.8,25.0,0,0,Oct-1983,5.0,1.0,1.0,1.0,3.0,3.0,2.0,7.0,7.0,6.0,17.0,3.0,7.0,0.0,0.0,0.0,2.0
14,16000.0,3,7.91,500.72,A,A5,11037.0,2 years,1,50000.0,0,2016-01-01,0,4,167.0,8,38.95,0.0,710.0,714.0,9.0,0.0,0.0,19023.0,60.8,11.0,0,0,May-2011,4.0,1.0,0.0,4.0,5.0,5.0,4.0,6.0,2.0,7.0,9.0,5.0,9.0,0.0,0.0,0.0,1.0
15,6000.0,3,10.49,194.99,B,B2,251530.0,2 years,0,77000.0,1,2017-02-01,0,2,194.0,38,17.27,0.0,660.0,664.0,16.0,1.0,1.0,220.0,3.6,49.0,0,0,Oct-1996,5.0,1.0,0.0,1.0,4.0,4.0,2.0,11.0,14.0,13.0,32.0,4.0,15.0,0.0,0.0,0.0,0.0
16,10375.0,5,15.61,250.16,D,D1,199961.0,9 years,0,58000.0,0,2014-05-01,0,2,492.0,36,21.02,0.0,705.0,709.0,16.0,0.0,0.0,36609.0,61.1,33.0,0,0,Mar-2002,5.0,1.0,0.0,3.0,4.0,4.0,5.0,6.0,14.0,13.0,14.0,4.0,16.0,0.0,0.0,0.0,2.0
17,5500.0,3,10.99,180.04,B,B4,81579.0,< 1 year,1,50000.0,1,2015-05-01,1,4,56.0,8,17.14,0.0,695.0,699.0,5.0,0.0,0.0,5463.0,76.9,10.0,1,0,Jun-1995,4.0,1.0,0.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0
18,6000.0,3,21.0,226.06,E,E2,323019.0,10+ years,1,40000.0,0,2012-12-01,1,3,140.0,8,28.95,3.0,660.0,664.0,6.0,0.0,0.0,6804.0,84.0,29.0,0,0,Aug-2001,49758.0,1.0,1.0,2.0,4.0,4.0,2.0,13.0,7.0,4.0,22.0,4.0,6.0,0.0,0.0,1.0,0.0
19,20000.0,5,21.0,541.07,E,E1,258238.0,9 years,1,90000.0,2,2013-12-01,0,0,305.0,15,15.55,0.0,700.0,704.0,10.0,0.0,0.0,22859.0,57.0,38.0,1,0,Oct-1999,38.0,1.0,0.0,2.0,6.0,6.0,2.0,14.0,10.0,6.0,27.0,6.0,10.0,0.0,0.0,0.0,6.0
20,15500.0,5,15.99,376.85,C,C5,369690.0,4 years,0,77000.0,0,2016-12-01,0,4,570.0,43,27.42,0.0,660.0,664.0,23.0,1.0,1.0,19752.0,72.4,57.0,0,0,May-2004,4.0,1.0,0.0,3.0,11.0,11.0,5.0,8.0,33.0,16.0,22.0,11.0,23.0,0.0,0.0,0.0,7.0
21,3000.0,3,12.29,100.06,C,C1,21088.0,< 1 year,1,60000.0,2,2015-04-01,0,0,265.0,7,17.1,0.0,670.0,674.0,15.0,0.0,0.0,2681.0,4.9,29.0,1,0,Oct-1995,0.0,1.0,2.0,5.0,5.0,5.0,11.0,14.0,11.0,13.0,18.0,5.0,15.0,0.0,0.0,0.0,7.0
22,13025.0,3,17.57,468.09,D,D4,44497.0,1 year,0,60000.0,1,2014-10-01,0,0,463.0,48,9.98,0.0,660.0,664.0,6.0,1.0,1.0,4330.0,57.0,31.0,0,0,Dec-1976,0.0,1.0,1.0,2.0,3.0,3.0,4.0,13.0,6.0,5.0,19.0,3.0,6.0,0.0,0.0,0.0,1.0
23,20000.0,3,14.08,684.33,C,C3,386.0,4 years,1,47500.0,1,2018-01-01,1,9,226.0,21,24.36,0.0,665.0,669.0,7.0,0.0,0.0,19497.0,53.1,19.0,0,0,Mar-2000,10.0,1.0,0.0,4.0,4.0,4.0,4.0,7.0,9.0,6.0,10.0,4.0,7.0,0.0,0.0,0.0,1.0
24,18000.0,5,7.39,359.75,A,A4,8893.0,10+ years,0,75000.0,1,2016-05-01,0,0,186.0,9,16.97,2.0,680.0,684.0,12.0,0.0,0.0,7648.0,25.9,35.0,1,0,Nov-1999,0.0,1.0,6.0,6.0,8.0,8.0,7.0,12.0,3.0,10.0,31.0,8.0,11.0,0.0,0.0,0.0,1.0
25,15000.0,3,6.07,456.81,A,A2,148.0,1 year,0,80000.0,0,2018-04-01,0,2,48.0,10,20.12,0.0,715.0,719.0,8.0,0.0,0.0,51551.0,61.0,24.0,0,1,Dec-1995,5.0,1.0,1.0,3.0,6.0,6.0,3.0,5.0,3.0,6.0,17.0,6.0,8.0,0.0,0.0,0.0,1.0
26,15000.0,3,14.09,513.33,B,B5,219198.0,5 years,0,40000.0,1,2013-06-01,0,4,66.0,14,20.1,0.0,695.0,699.0,6.0,0.0,0.0,13950.0,90.6,11.0,1,0,May-1996,95.0,1.0,0.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,7.0,4.0,6.0,0.0,0.0,0.0,1.0
27,5000.0,3,12.69,167.73,C,C2,4234.0,7 years,1,60000.0,1,2015-10-01,0,7,74.0,30,16.74,0.0,695.0,699.0,10.0,0.0,0.0,11030.0,58.4,14.0,0,0,Mar-2008,8.0,1.0,0.0,6.0,8.0,8.0,6.0,7.0,5.0,8.0,9.0,8.0,10.0,0.0,0.0,0.0,1.0
28,8425.0,3,8.59,266.31,A,A5,2780.0,10+ years,0,40000.0,0,2016-08-01,0,0,245.0,26,12.57,2.0,665.0,669.0,17.0,1.0,1.0,7993.0,33.9,23.0,0,0,Apr-2000,0.0,1.0,0.0,5.0,9.0,9.0,8.0,8.0,5.0,17.0,18.0,9.0,17.0,0.0,0.0,0.0,1.0
29,6350.0,3,15.8,222.63,C,C3,334998.0,< 1 year,0,63500.0,1,2012-09-01,0,8,74.0,30,0.94,0.0,675.0,679.0,8.0,1.0,0.0,1125.0,9.3,19.0,1,0,Dec-2000,1696.0,1.0,3.0,1.0,2.0,2.0,2.0,7.0,4.0,7.0,14.0,2.0,8.0,0.0,0.0,0.0,4.0
30,10000.0,3,14.59,344.65,D,D1,241561.0,4 years,1,40000.0,0,2010-04-01,0,0,56.0,8,24.15,0.0,675.0,679.0,8.0,0.0,0.0,22778.0,87.6,30.0,1,0,Dec-1995,15383.0,1.0,,,,,,,,,,,,,,,
31,25000.0,3,12.74,839.23,C,C1,10407.0,7 years,0,105000.0,0,2017-01-01,1,0,290.0,8,26.77,0.0,670.0,674.0,29.0,0.0,0.0,41182.0,56.7,52.0,0,0,Feb-1997,0.0,1.0,4.0,14.0,21.0,21.0,15.0,19.0,12.0,26.0,37.0,21.0,29.0,0.0,0.0,0.0,6.0
32,10000.0,3,15.59,349.55,D,D1,132.0,5 years,2,30000.0,1,2015-01-01,0,0,413.0,37,20.2,0.0,685.0,689.0,7.0,0.0,0.0,6772.0,41.3,17.0,1,0,Jul-2007,0.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,9.0,6.0,8.0,3.0,7.0,0.0,0.0,0.0,4.0
33,8000.0,3,12.79,268.75,C,C1,49.0,10+ years,0,50230.0,2,2016-06-01,0,4,47.0,17,17.35,0.0,665.0,669.0,21.0,0.0,0.0,28884.0,78.7,52.0,1,0,Sep-2005,4.0,1.0,0.0,6.0,12.0,12.0,6.0,7.0,21.0,18.0,29.0,12.0,21.0,0.0,0.0,0.0,4.0
34,8000.0,3,7.21,247.79,A,A3,64986.0,2 years,1,48000.0,0,2017-08-01,0,0,540.0,13,23.79,0.0,730.0,734.0,17.0,0.0,0.0,16276.0,29.3,30.0,0,0,May-1994,0.0,1.0,0.0,5.0,7.0,7.0,7.0,12.0,3.0,15.0,27.0,7.0,17.0,0.0,0.0,0.0,2.0
35,18000.0,3,7.49,559.83,A,A4,3023.0,8 years,0,68000.0,0,2016-11-01,0,0,135.0,33,23.88,0.0,760.0,764.0,10.0,0.0,0.0,2349.0,8.0,32.0,0,0,Dec-2003,0.0,1.0,0.0,2.0,3.0,3.0,4.0,10.0,11.0,6.0,14.0,3.0,10.0,0.0,0.0,0.0,3.0
36,35000.0,5,22.7,980.65,E,E5,240649.0,3 years,1,130000.0,2,2013-07-01,1,0,74.0,30,9.31,0.0,680.0,684.0,10.0,0.0,0.0,21322.0,54.7,27.0,1,0,Jun-1987,4208.0,1.0,0.0,6.0,7.0,7.0,6.0,16.0,6.0,9.0,21.0,7.0,10.0,0.0,0.0,0.0,3.0
37,10675.0,5,13.98,248.28,C,C3,32.0,3 years,1,57350.0,1,2014-08-01,0,0,115.0,8,16.57,0.0,750.0,754.0,6.0,0.0,0.0,5578.0,23.0,12.0,0,0,Aug-1986,0.0,1.0,0.0,2.0,5.0,5.0,2.0,5.0,4.0,5.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0
38,15000.0,5,19.24,391.1,E,E2,104837.0,8 years,0,52000.0,1,2015-01-01,1,0,73.0,23,5.47,0.0,660.0,664.0,4.0,0.0,0.0,7017.0,92.3,15.0,0,0,Oct-2000,0.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,7.0,3.0,4.0,0.0,0.0,0.0,1.0
39,10000.0,3,7.89,312.86,A,A5,95.0,8 years,1,75000.0,0,2015-04-01,0,0,368.0,3,13.3,0.0,685.0,689.0,12.0,0.0,0.0,10083.0,48.7,21.0,0,0,Mar-2005,0.0,1.0,0.0,4.0,4.0,4.0,5.0,8.0,9.0,8.0,12.0,4.0,12.0,0.0,0.0,0.0,2.0
40,18000.0,3,8.49,568.14,B,B1,62.0,10+ years,1,250000.0,0,2016-01-01,0,4,17.0,13,7.37,0.0,750.0,754.0,6.0,0.0,0.0,25874.0,76.1,11.0,0,0,Apr-1997,4.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0
41,20000.0,3,16.55,708.59,D,D2,4462.0,2 years,0,63800.0,2,2015-12-01,0,0,231.0,43,33.69,5.0,675.0,679.0,13.0,0.0,0.0,15238.0,93.0,24.0,1,0,Jan-1993,0.0,1.0,2.0,3.0,8.0,8.0,3.0,6.0,9.0,8.0,13.0,8.0,13.0,0.0,0.0,2.0,4.0
42,13000.0,5,13.35,298.13,C,C2,81832.0,10+ years,1,52000.0,1,2014-10-01,1,4,524.0,20,18.44,0.0,705.0,709.0,7.0,0.0,0.0,17703.0,38.8,13.0,1,0,Jul-2004,4.0,1.0,0.0,3.0,5.0,5.0,4.0,5.0,5.0,6.0,8.0,5.0,7.0,0.0,0.0,0.0,1.0
43,4000.0,3,23.99,156.92,E,E2,12694.0,10+ years,1,91000.0,1,2017-03-01,0,0,616.0,0,13.64,1.0,665.0,669.0,10.0,1.0,0.0,14847.0,58.9,25.0,1,0,Nov-1999,0.0,1.0,0.0,3.0,4.0,4.0,5.0,14.0,6.0,8.0,19.0,4.0,10.0,0.0,0.0,0.0,3.0
44,15000.0,5,24.84,438.87,E,E3,130.0,4 years,1,50000.0,1,2018-05-01,1,2,456.0,21,7.39,0.0,730.0,734.0,4.0,0.0,0.0,1147.0,11.7,7.0,0,0,Aug-2014,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,5.0
45,6500.0,3,9.49,208.19,B,B2,4544.0,4 years,1,26500.0,1,2016-08-01,1,0,414.0,0,15.63,0.0,675.0,679.0,8.0,0.0,0.0,2327.0,58.2,16.0,1,0,Dec-2006,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,14.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0
46,14650.0,5,21.99,404.54,F,F1,43312.0,10+ years,0,75000.0,2,2015-09-01,0,0,195.0,38,36.99,1.0,685.0,689.0,21.0,0.0,0.0,21005.0,44.5,31.0,1,0,Mar-1992,0.0,1.0,0.0,7.0,10.0,10.0,7.0,8.0,7.0,16.0,21.0,10.0,21.0,0.0,0.0,0.0,3.0
47,8000.0,3,6.89,246.62,A,A3,38775.0,9 years,1,50000.0,1,2015-10-01,0,0,398.0,2,13.12,0.0,730.0,734.0,9.0,0.0,0.0,16405.0,41.3,11.0,0,0,Jun-1998,0.0,1.0,0.0,4.0,5.0,5.0,6.0,6.0,2.0,8.0,8.0,5.0,9.0,0.0,0.0,0.0,0.0
48,9500.0,3,15.61,332.17,D,D1,176447.0,9 years,0,70000.0,1,2014-11-01,0,0,480.0,8,7.44,2.0,665.0,669.0,7.0,0.0,0.0,2205.0,73.5,22.0,1,0,Jun-2004,0.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,10.0,4.0,6.0,3.0,7.0,0.0,0.0,1.0,3.0
49,16000.0,3,9.16,509.99,B,B2,5490.0,10+ years,0,75000.0,0,2016-04-01,0,4,368.0,3,21.71,0.0,735.0,739.0,14.0,0.0,0.0,21842.0,63.9,26.0,0,0,Feb-1988,2.0,1.0,0.0,3.0,5.0,5.0,4.0,6.0,13.0,7.0,10.0,5.0,14.0,0.0,0.0,0.0,0.0
50,6000.0,3,10.99,196.41,B,B4,59222.0,2 years,1,65000.0,1,2015-08-01,0,0,129.0,30,12.76,0.0,660.0,664.0,18.0,1.0,1.0,2069.0,10.9,45.0,0,0,Aug-2007,0.0,1.0,0.0,6.0,6.0,6.0,8.0,21.0,4.0,15.0,39.0,6.0,15.0,0.0,0.0,0.0,4.0
51,15000.0,3,11.44,494.22,B,B4,109.0,1 year,2,94000.0,1,2014-12-01,0,0,588.0,4,16.32,0.0,685.0,689.0,13.0,4.0,1.0,7032.0,66.3,35.0,1,0,Oct-2002,0.0,1.0,0.0,3.0,3.0,3.0,3.0,10.0,19.0,5.0,14.0,3.0,13.0,0.0,0.0,0.0,5.0
52,5000.0,3,9.75,160.75,B,B3,808.0,2 years,1,20000.0,1,2016-03-01,0,0,148.0,11,22.57,0.0,680.0,684.0,19.0,0.0,0.0,3723.0,20.1,23.0,1,0,Mar-2010,0.0,1.0,0.0,3.0,4.0,4.0,5.0,6.0,9.0,11.0,14.0,4.0,19.0,0.0,0.0,0.0,2.0
53,20000.0,3,7.89,625.72,A,A5,2247.0,10+ years,1,200000.0,1,2015-05-01,0,0,25.0,13,19.57,0.0,710.0,714.0,13.0,0.0,0.0,22515.0,60.5,30.0,1,0,Mar-1974,0.0,1.0,0.0,3.0,5.0,5.0,4.0,7.0,11.0,6.0,18.0,6.0,13.0,0.0,0.0,0.0,2.0
54,25000.0,3,11.49,824.29,B,B5,252458.0,2 years,1,86500.0,2,2017-02-01,0,0,34.0,18,22.78,0.0,795.0,799.0,12.0,0.0,0.0,7132.0,21.2,18.0,1,0,Oct-2001,0.0,1.0,0.0,2.0,4.0,4.0,4.0,5.0,11.0,6.0,7.0,4.0,12.0,0.0,0.0,0.0,2.0
55,35000.0,5,18.45,897.37,D,D2,26857.0,10+ years,1,130020.0,1,2018-04-01,1,0,54.0,28,17.92,0.0,765.0,769.0,54.0,0.0,0.0,4416.0,6.8,78.0,0,0,Apr-2002,0.0,1.0,0.0,2.0,4.0,4.0,8.0,12.0,55.0,16.0,23.0,4.0,54.0,0.0,0.0,0.0,6.0
56,9600.0,3,14.65,331.15,C,C5,57125.0,2 years,0,42000.0,0,2015-07-01,1,2,727.0,43,7.09,0.0,720.0,724.0,9.0,1.0,1.0,657.0,11.9,20.0,0,0,May-1998,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,8.0,1.0,9.0,0.0,0.0,0.0,2.0
57,14400.0,3,7.89,450.52,A,A5,26930.0,8 years,0,55000.0,0,2015-07-01,0,4,504.0,11,25.6,0.0,705.0,709.0,10.0,0.0,0.0,17080.0,40.0,37.0,0,0,Dec-2004,4.0,1.0,0.0,6.0,7.0,7.0,7.0,15.0,14.0,8.0,23.0,7.0,10.0,0.0,0.0,0.0,3.0
58,6075.0,3,14.09,207.9,B,B5,291169.0,2 years,1,30000.0,0,2013-06-01,0,4,689.0,2,14.07,0.0,660.0,664.0,10.0,0.0,0.0,3625.0,26.3,13.0,1,0,Dec-2004,4.0,1.0,0.0,4.0,8.0,8.0,5.0,5.0,3.0,9.0,10.0,8.0,10.0,0.0,0.0,0.0,2.0
59,3000.0,3,14.46,103.21,C,C4,385.0,< 1 year,1,25200.0,2,2016-03-01,0,0,17.0,13,3.64,0.0,660.0,664.0,3.0,0.0,0.0,0.0,0.0,7.0,0,0,Aug-2002,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
60,35000.0,3,10.64,1139.9,B,B2,283442.0,10+ years,0,85000.0,2,2013-07-01,0,0,249.0,36,22.47,0.0,775.0,779.0,13.0,0.0,0.0,120918.0,30.5,39.0,1,0,Mar-1988,28.0,1.0,0.0,3.0,7.0,7.0,5.0,20.0,5.0,11.0,32.0,7.0,13.0,0.0,0.0,0.0,3.0
61,25000.0,3,6.89,770.68,A,A3,184.0,10+ years,0,409000.0,2,2015-08-01,0,2,48.0,10,17.51,0.0,730.0,734.0,21.0,1.0,0.0,32686.0,47.6,32.0,0,0,Aug-2003,5.0,1.0,0.0,3.0,3.0,3.0,12.0,17.0,10.0,13.0,19.0,3.0,21.0,0.0,0.0,0.0,4.0
62,16000.0,5,15.59,365.53,C,C5,64670.0,8 years,0,85000.0,1,2016-07-01,0,0,268.0,8,11.21,0.0,675.0,679.0,10.0,0.0,0.0,29526.0,75.7,14.0,0,0,Aug-2007,0.0,1.0,0.0,6.0,8.0,8.0,6.0,6.0,3.0,9.0,10.0,8.0,10.0,0.0,0.0,0.0,2.0
63,3000.0,3,7.9,93.88,A,A4,222245.0,< 1 year,0,96000.0,1,2011-11-01,0,8,0.0,0,0.19,1.0,735.0,739.0,4.0,0.0,0.0,25.0,0.1,14.0,1,0,Jul-1996,3581.0,1.0,,,,,,,,,,,,,,,
64,6000.0,3,12.12,199.63,B,B3,228001.0,6 years,0,70000.0,0,2013-05-01,0,5,134.0,8,9.79,1.0,715.0,719.0,19.0,0.0,0.0,16966.0,35.8,52.0,1,0,Aug-1996,2111.0,1.0,0.0,7.0,9.0,9.0,11.0,15.0,23.0,16.0,25.0,9.0,19.0,0.0,0.0,0.0,0.0
65,10000.0,3,15.31,348.18,C,C2,303649.0,5 years,0,32000.0,0,2013-04-01,0,0,625.0,13,17.74,0.0,695.0,699.0,13.0,0.0,0.0,9668.0,85.6,38.0,1,0,Jul-1994,51.0,1.0,0.0,3.0,4.0,4.0,4.0,13.0,18.0,5.0,20.0,4.0,13.0,0.0,0.0,0.0,0.0
66,15000.0,5,18.99,389.03,E,E1,13.0,3 years,0,57000.0,1,2016-02-01,1,5,431.0,20,35.45,0.0,695.0,699.0,17.0,0.0,0.0,11088.0,49.9,39.0,1,0,Oct-2000,6.0,1.0,0.0,7.0,7.0,7.0,8.0,10.0,26.0,9.0,12.0,7.0,17.0,0.0,0.0,0.0,3.0
67,16000.0,5,14.16,373.63,C,C2,1027.0,10+ years,0,120000.0,2,2014-04-01,0,0,495.0,14,34.77,1.0,725.0,729.0,12.0,0.0,0.0,1859.0,18.6,39.0,0,0,Apr-1995,0.0,1.0,0.0,2.0,5.0,5.0,4.0,17.0,8.0,8.0,27.0,5.0,12.0,0.0,0.0,0.0,1.0
68,24000.0,5,9.99,509.82,B,B3,49315.0,8 years,1,60000.0,0,2015-08-01,1,0,316.0,26,12.04,0.0,695.0,699.0,9.0,0.0,0.0,16196.0,47.4,16.0,0,0,Jan-2004,0.0,1.0,0.0,5.0,5.0,5.0,6.0,9.0,5.0,8.0,11.0,5.0,9.0,0.0,0.0,0.0,2.0
69,1600.0,3,14.65,55.2,C,C5,4749.0,4 years,0,40000.0,1,2015-04-01,1,5,137.0,32,16.53,0.0,670.0,674.0,9.0,0.0,0.0,8923.0,61.5,12.0,1,0,Apr-2010,6.0,1.0,0.0,2.0,4.0,4.0,2.0,2.0,3.0,6.0,7.0,4.0,9.0,0.0,0.0,0.0,4.0
70,15000.0,5,15.99,364.7,C,C5,2039.0,2 years,0,76000.0,1,2016-12-01,0,0,248.0,11,16.56,0.0,660.0,664.0,11.0,0.0,0.0,12128.0,47.9,18.0,0,0,Oct-1999,0.0,1.0,0.0,3.0,5.0,5.0,4.0,7.0,6.0,8.0,11.0,5.0,11.0,0.0,0.0,0.0,3.0
71,15000.0,5,15.61,361.67,C,C4,4088.0,7 years,0,55000.0,1,2014-01-01,0,0,33.0,22,22.0,0.0,700.0,704.0,16.0,0.0,0.0,25383.0,63.0,27.0,1,0,Jul-1999,0.0,1.0,0.0,6.0,11.0,11.0,6.0,9.0,7.0,12.0,17.0,11.0,16.0,0.0,0.0,0.0,2.0
72,10000.0,5,21.67,274.32,E,E5,29.0,8 years,2,67000.0,2,2015-03-01,1,0,51.0,13,16.38,0.0,665.0,669.0,12.0,0.0,0.0,24737.0,85.5,23.0,0,0,Jul-1993,0.0,1.0,0.0,8.0,8.0,8.0,10.0,13.0,1.0,11.0,22.0,8.0,12.0,0.0,0.0,0.0,5.0
73,16000.0,3,11.49,527.55,B,B5,2861.0,10+ years,0,340000.0,1,2016-10-01,0,0,60.0,30,24.61,0.0,710.0,714.0,31.0,0.0,0.0,59690.0,40.7,62.0,0,0,Oct-1992,0.0,1.0,0.0,5.0,8.0,8.0,9.0,15.0,26.0,18.0,29.0,8.0,31.0,0.0,0.0,0.0,5.0
74,25000.0,3,7.97,783.07,A,A5,54.0,,0,100000.0,2,2017-10-01,1,2,137.0,32,1.5,1.0,715.0,719.0,4.0,1.0,1.0,49172.0,82.0,19.0,0,0,Oct-1984,5.0,1.0,0.0,1.0,3.0,3.0,6.0,6.0,2.0,3.0,14.0,2.0,4.0,,0.0,1.0,0.0
75,12000.0,3,14.33,412.06,C,C1,309962.0,1 year,1,125000.0,0,2013-03-01,1,0,221.0,8,17.51,0.0,700.0,704.0,7.0,0.0,0.0,31839.0,78.4,11.0,0,0,Jan-1988,3721.0,1.0,0.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,8.0,4.0,7.0,0.0,0.0,0.0,2.0
76,18000.0,5,21.99,497.04,F,F1,46704.0,4 years,1,60000.0,2,2015-09-01,0,5,242.0,8,10.42,1.0,685.0,689.0,7.0,0.0,0.0,9398.0,63.9,23.0,0,0,Oct-2004,6.0,1.0,0.0,4.0,5.0,5.0,5.0,14.0,4.0,6.0,19.0,5.0,7.0,0.0,0.0,0.0,2.0
